school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Abilene Christian,8,3,5,.375,-1.29,3.46,0,2,1,2,552,590,70.6,96.3,.400,.287,.507,44.4,51.9,11.3,4.9,.457,16.2,24.3,.293
Air Force,8,6,2,.750,-2.00,-7.00,4,1,2,1,530,490,64.1,101.9,.388,.457,.550,49.1,64.6,10.4,14.3,.522,16.2,22.4,.258
Akron,7,4,3,.571,2.05,1.21,2,0,1,1,535,472,70.0,109.2,.315,.470,.582,54.1,59.1,10.0,6.8,.550,17.7,30.5,.238
Alabama,7,5,2,.714,24.31,5.74,4,1,0,0,664,534,73.0,129.9,.482,.418,.639,56.7,48.8,10.6,11.9,.593,13.3,37.9,.383
Alabama A&M,7,1,6,.143,-18.96,-0.96,1,0,0,6,476,602,72.6,92.1,.477,.271,.474,48.3,45.8,10.3,8.5,.408,18.0,32.4,.347
Alabama State,7,3,4,.429,-10.40,1.11,1,0,0,4,537,542,73.5,102.5,.307,.353,.486,51.7,47.3,11.3,10.2,.443,12.5,34.1,.228
Albany (NY),8,5,3,.625,-5.80,-7.18,3,0,2,3,609,598,74.2,102.7,.376,.373,.527,51.8,46.4,9.6,7.4,.494,15.8,31.4,.255
Alcorn State,8,1,7,.125,-11.90,7.53,1,0,0,7,553,681,71.4,96.8,.385,.265,.487,46.1,41.8,11.0,4.9,.450,13.3,27.6,.252
American,9,4,5,.444,-11.35,-8.72,4,1,0,4,686,678,66.9,112.3,.261,.488,.558,53.5,60.7,10.0,5.6,.533,14.6,34.1,.188
Appalachian State,7,5,2,.714,6.51,-1.49,3,0,0,2,539,453,69.2,109.3,.299,.381,.547,54.3,51.7,8.3,17.2,.528,13.1,30.2,.195
Arizona,7,7,0,1.000,32.55,1.69,5,0,1,0,654,438,76.4,122.2,.347,.315,.597,62.6,61.8,13.3,12.0,.566,14.7,41.6,.260
Arizona State,6,4,2,.667,4.73,4.39,3,0,0,0,399,397,70.3,94.5,.369,.349,.485,45.5,51.7,11.8,10.5,.463,13.3,23.4,.214
Arkansas,8,5,3,.625,9.91,4.53,4,1,0,0,645,602,72.2,108.2,.497,.355,.559,52.3,41.8,7.4,16.9,.517,14.4,28.7,.347
Arkansas State,8,2,6,.250,-6.50,-0.63,1,1,0,4,594,641,72.5,102.4,.327,.447,.515,50.7,55.6,6.9,9.4,.488,17.0,34.3,.214
Arkansas-Pine Bluff,9,4,5,.444,-18.90,-2.74,3,1,1,4,785,770,77.6,112.3,.335,.438,.588,47.8,53.7,10.2,6.7,.549,14.8,26.8,.264
Army,8,1,7,.125,-19.84,-7.84,1,3,0,4,473,522,65.6,90.1,.245,.462,.460,50.5,56.5,10.5,7.1,.450,16.7,28.9,.126
Auburn,6,5,1,.833,18.36,2.19,3,0,0,0,486,389,71.7,113.0,.444,.375,.557,53.6,68.7,9.5,16.3,.515,14.3,36.7,.319
Austin Peay,9,3,6,.333,-11.22,-1.36,2,1,0,4,583,607,66.7,97.2,.255,.356,.494,48.7,41.4,13.3,10.2,.470,14.9,29.6,.169
Ball State,8,6,2,.750,-6.32,-6.16,6,0,0,2,614,513,68.4,112.2,.391,.343,.565,54.3,45.8,9.5,7.6,.533,14.8,33.0,.275
Baylor,8,8,0,1.000,25.54,1.54,5,0,0,0,742,548,71.9,129.0,.430,.341,.625,58.2,51.8,10.6,12.5,.594,13.7,43.3,.316
Bellarmine,9,2,7,.222,-6.42,1.45,1,1,1,6,593,635,67.9,97.1,.239,.381,.510,46.0,57.5,10.5,4.5,.472,14.9,22.9,.192
Belmont,9,6,3,.667,-0.55,1.70,3,0,2,2,740,724,74.5,108.8,.310,.390,.585,49.2,51.5,10.7,8.3,.567,16.5,25.2,.209
Bethune-Cookman,8,4,4,.500,-16.85,-9.01,4,0,0,2,629,568,76.8,102.4,.335,.358,.522,50.9,45.8,19.1,8.8,.485,16.0,33.8,.240
Binghamton,9,5,4,.556,-8.91,-4.16,3,0,2,4,648,632,70.4,102.2,.377,.340,.534,52.0,54.5,7.7,12.8,.504,16.2,28.4,.250
Boise State,7,4,3,.571,9.64,13.98,2,0,0,1,479,471,68.8,99.4,.376,.359,.513,51.2,44.0,9.5,6.6,.468,14.6,26.6,.273
Boston College,8,5,3,.625,7.88,3.38,3,1,2,0,605,569,68.7,108.4,.268,.330,.540,51.3,46.0,9.9,12.3,.505,13.0,29.5,.207
Boston University,8,3,5,.375,-7.11,-0.68,2,0,1,5,528,532,69.3,95.1,.271,.419,.495,50.6,55.9,10.5,6.6,.466,15.1,24.4,.186
Bowling Green State,8,5,3,.625,-2.06,-4.31,2,1,1,1,558,540,70.3,99.3,.301,.375,.514,51.4,41.6,7.1,8.7,.497,15.2,27.4,.181
Bradley,8,6,2,.750,8.49,4.49,3,1,1,1,602,570,68.5,106.5,.328,.396,.558,48.7,49.3,10.1,9.2,.530,15.8,27.0,.229
Brigham Young,7,7,0,1.000,28.63,-3.09,4,0,0,0,639,417,71.9,127.0,.242,.489,.607,60.8,66.2,9.9,5.7,.584,12.8,39.1,.186
Brown,9,2,7,.222,-4.61,0.27,1,2,0,3,666,664,71.5,100.8,.379,.406,.511,52.6,50.6,10.0,12.7,.485,16.1,32.4,.237
Bryant,9,5,4,.556,-1.06,3.79,3,1,2,3,715,654,75.9,104.7,.262,.429,.552,47.7,51.5,9.1,15.0,.532,14.1,20.7,.177
Bucknell,10,3,7,.300,-8.23,1.47,1,2,2,5,632,729,66.0,95.8,.316,.463,.533,45.8,53.9,9.7,10.3,.498,18.5,21.1,.229
Buffalo,8,1,7,.125,-17.78,-1.06,1,3,0,2,554,665,71.3,97.2,.408,.405,.523,53.2,49.2,8.6,11.1,.479,21.4,35.4,.291
