muid,date,conmatch,matchup,prediction,ttq,conf,venue,team1,t1oe,t1de,t1py,t1wp,t1propt,team2,t2oe,t2de,t2py,t2wp,t2propt,tpro,t1qual,t2qual,gp,result,tempo,possessions,t1pts,t2pts,winner,loser,t1adjt,t2adjt,t1adjo,t1adjd,t2adjo,t2adjd,gamevalue,mismatch,blowout,t1elite,t2elite,ord_date,t1ppp,t2ppp,gameppp,t1rk,t2rk,t1gs,t2gs,gamestats,t1fun,t2fun,results
PrincetonRutgers11-6,11/6/23,Ivy vs. B10,82 Princeton vs. 56 Rutgers,"Rutgers -2.5, 66-64 (61%)",63.58721931716419,0,1,Princeton,112.6968711718416,104.01068104335428,0.7155293865172069,1.0,63.534094870220784,Rutgers,104.08594591685556,92.37691715601196,0.7977689267819089,0.0,66.06958168877267,63.855431198308864,,,1,"Princeton, 68-61",62.275,62.275,68.0,61.0,Princeton,Rutgers,63.37675766049389,66.15813809766667,122.93329972759534,99.12924868305396,99.20098122328504,100.76765332140576,1.0,0.0,1.0,0.6952578040127716,0.7815687612991321,738830,1.0919309514251303,0.9795262946607788,1.0357286230429548,82,56,0.9223705353322292,0.45507169989493934,"[u'11/6/2023', 200, u'Princeton', u'Rutgers', 26, 60, 9, 20, 7, 11, 15, 24, 39, 11, 5, 2, 12, 11, 68, 25, 62, 4, 14, 7, 7, 12, 23, 35, 14, 7, 6, 9, 16, 61, 62.275, u'', u'Princeton', u'Rutgers']",0.3893571267711723,0.6106428732288277,"['PrincetonRutgers11-6', '11/6/23', 'Rutgers -5.9, 70-64 (74%)', 63.78930650886369, 69.7177338965802, 68.0, 61.0, 136.0, 52.0, 68.9080866117124, 54.180484464265675]"
BradleyUAB11-6,11/6/23,MVC at Amer,89 Bradley at 103 UAB,"UAB -2.7, 71-68 (61%)",62.28790913563505,0,0,Bradley,105.96517634212792,100.83895467754196,0.6388177347761267,1.0,68.17903908135524,UAB,108.30031188182984,99.17894494279466,0.7333715490464588,0.0,70.84778372449163,67.87886079678431,,,1,"Bradley, 73-71",67.27777777777777,75.6875,73.0,71.0,Bradley,UAB,66.28123974443186,69.45472064739042,103.95794106562698,88.61015674351137,95.16667087543073,97.30025720926444,1.0,0.0,1.0,0.7081699507509852,0.8728414418691524,738830,0.9644921552436004,0.9380677126341866,0.9512799339388934,89,103,0.8625945890964639,0.43659905526526366,"[u'11/6/2023', 225, u'Bradley', u'UAB', 25, 58, 10, 30, 13, 16, 8, 33, 41, 16, 9, 6, 17, 20, 73, 25, 74, 3, 19, 18, 29, 22, 27, 49, 8, 11, 1, 11, 14, 71, 75.6875, u'', u'Bradley', u'UAB']",0.3913693429568841,0.6086306570431159,"['BradleyUAB11-6', '11/6/23', 'UAB -6.7, 72-66 (75%)', 65.51263651988795, 72.18352070273214, 73.0, 71.0, 113.0, 74.0, 71.59547624708968, 54.36564395390852]"
GeorgiaOregon11-6,11/6/23,SEC vs. P12,105 Georgia vs. 42 Oregon,"Oregon -6.1, 78-71 (72%)",61.85613926934942,0,1,Georgia,106.51606885987,100.23837103412194,0.6678695697745654,0.0,71.49963626335843,Oregon,113.85489134972065,98.7380997016656,0.837292515666779,1.0,77.58712005209344,71.13285767588347,Georgia,,1,"Oregon, 82-71",82.5125,82.5125,71.0,82.0,Oregon,Georgia,81.45141797076008,81.124913504479,89.37002103642075,92.90241491041785,105.52240870067271,82.84408298097262,1.0,0.0,1.0,0.6362223085683476,0.8173744500433926,738830,0.8604756855021966,0.9937888198757764,0.9271322526889864,105,42,0.39036219185258975,0.9417268947127455,"[u'11/6/2023', 200, u'Georgia', u'Oregon', 22, 65, 10, 30, 17, 30, 11, 30, 41, 11, 8, 4, 16, 26, 71, 31, 73, 6, 15, 14, 29, 21, 42, 63, 13, 9, 2, 15, 23, 82, 82.5125, u'', u'Oregon', u'Georgia']",0.2809701714430457,0.7190298285569543,"['GeorgiaOregon11-6', '11/6/23', 'Oregon -6.2, 76-70 (73%)', 69.62021507883928, 75.82156608410143, 71.0, 82.0, 88.0, 33.0, 70.91046353902338, 61.70640094226375]"
Long Beach St.Portland11-6,11/6/23,BW at WCC,131 Long Beach St. at 150 Portland,"Portland -2.9, 84-81 (60%)",61.44675969228823,0,0,Long Beach St.,106.54215159752076,106.0146645331589,0.5142655207813313,0.0,81.37645606226157,Portland,110.85514748877408,106.56356448913992,0.6116020148285348,1.0,84.23457286318208,74.99544538316125,,,1,"Portland, 78-73",77.82499999999999,77.82499999999999,73.0,78.0,Portland,Long Beach St.,76.51173111785334,72.87171702704777,91.74772541955494,94.93784463424204,99.27257531342232,91.76616492045908,1.0,0.0,1.0,0.8091131027033358,0.9197885845262042,738830,0.9380019274012208,1.0022486347574688,0.9701252810793448,131,150,0.4029792684515151,0.7118109185659032,"[u'11/6/2023', 200, u'Long Beach St.', u'Portland', 25, 69, 8, 29, 15, 23, 14, 25, 39, 14, 8, 3, 14, 26, 73, 23, 53, 7, 30, 25, 31, 8, 33, 41, 13, 5, 4, 16, 20, 78, 77.82499999999999, u'', u'Portland', u'Long Beach St.']",0.4020396707278331,0.5979603292721669,"['Long Beach St.Portland11-6', '11/6/23', 'Portland -2.0, 84-82 (57%)', 81.71686536781071, 83.70158520284734, 73.0, 78.0, 116.0, 146.0, 76.75240386232247, 65.44676918682939]"
James MadisonMichigan St.11-6,11/6/23,SB at B10,65 James Madison at 15 Michigan St.,"Michigan St. -10.3, 80-70 (83%)",60.73895626001096,0,0,James Madison,111.48655067928212,102.91284516289404,0.7150924710195314,1.0,69.957481254201,Michigan St.,115.26516041648274,92.77183521746232,0.923900269937411,0.0,80.23487530685546,70.77206312084661,James Madison,,1,"James Madison, 79-76",73.72222222222223,82.9375,79.0,76.0,James Madison,Michigan St.,76.46849339798042,69.33237964776512,108.17743617319722,82.58086756530108,92.49279749462004,90.0182059787449,1.0,0.0,1.0,0.3547440366324031,0.8286810588982197,738830,0.9525244913338358,0.9163526752072344,0.9344385832705352,65,15,0.9570960548601507,0.5773408206445899,"[u'11/6/2023', 225, u'James Madison', u'Michigan St.', 25, 68, 8, 29, 21, 28, 14, 37, 51, 14, 5, 4, 15, 32, 79, 26, 72, 1, 20, 23, 37, 17, 31, 48, 13, 8, 5, 11, 21, 76, 82.9375, u'', u'James Madison', u'Michigan St.']",0.1713183960391512,0.8286816039608488,"['James MadisonMichigan St.11-6', '11/6/23', 'Michigan St. -14.3, 80-66 (91%)', 65.7845305108834, 80.10991025348822, 79.0, 76.0, 102.0, 7.0, 70.78061795471469, 51.94044718330945]"
Missouri St.West Virginia11-6,11/6/23,MVC at B12,93 Missouri St. at 83 West Virginia,"West Virginia -4.0, 70-66 (66%)",59.246154227356826,0,0,Missouri St.,105.15410480479972,100.40345267390616,0.6298676203091211,0.0,65.72366394894057,West Virginia,107.34242014989624,96.56293891778998,0.7715408776806549,1.0,69.75977818642401,67.72536884201907,,,1,"West Virginia, 67-59",63.9125,63.9125,59.0,67.0,West Virginia,Missouri St.,64.77261276933277,64.28541879851169,102.12467044866756,100.29821939977012,107.22991411524076,93.78101152437368,1.0,0.0,1.0,0.6640235358253914,0.8770629819969135,738830,0.9231371015059652,1.0483082339135537,0.9857226677097596,93,83,0.5516979345243385,0.8236315319353396,"[u'11/6/2023', 200, u'Missouri St.', u'West Virginia', 23, 65, 9, 29, 4, 7, 11, 29, 40, 14, 4, 6, 6, 17, 59, 22, 63, 7, 21, 16, 20, 15, 31, 46, 13, 2, 6, 7, 12, 67, 63.9125, u'', u'West Virginia', u'Missouri St.']",0.3350608422682324,0.6649391577317676,"['Missouri St.West Virginia11-6', '11/6/23', 'West Virginia -8.2, 70-62 (81%)', 62.06267582990646, 70.21696570603412, 59.0, 67.0, 132.0, 65.0, 66.61417676378346, 47.50429132541558]"
AkronSouth Dakota St.11-6,11/6/23,MAC at Sum,138 Akron at 149 South Dakota St.,"South Dakota St. -2.9, 72-69 (62%)",54.18437348955075,0,0,Akron,104.14477372614613,104.25270763321322,0.4970219760897232,1.0,68.64497985084647,South Dakota St.,107.49387988164288,103.24859324909744,0.613816774648179,0.0,71.541532633249,66.79646451458186,,,1,"Akron, 81-75",68.8125,68.8125,81.0,75.0,Akron,South Dakota St.,69.67369908211684,70.24185766740733,117.06916500767088,108.22252643029546,111.58711865321312,116.06176831947852,1.0,0.0,1.0,0.8076674199286343,0.924733317164749,738830,1.1771117166212537,1.0899182561307903,1.133514986376022,138,149,0.7116921954669353,0.38885100538421286,"[u'11/6/2023', 200, u'Akron', u'South Dakota St.', 26, 57, 11, 27, 18, 22, 13, 23, 36, 14, 10, 1, 15, 19, 81, 28, 56, 8, 19, 11, 13, 6, 20, 26, 14, 8, 2, 12, 17, 75, 68.8125, u'', u'Akron', u'South Dakota St.']",0.3833633369982895,0.6166366630017105,"['AkronSouth Dakota St.11-6', '11/6/23', 'South Dakota St. -2.0, 69-67 (59%)', 66.94470860088671, 68.97880941959588, 81.0, 75.0, 143.0, 163.0, 67.9748235255155, 55.439593627178205]"
Sam Houston St.Pacific11-6,11/6/23,CUSA at WCC,135 Sam Houston St. at 257 Pacific,"Sam Houston St. -2.9, 75-72 (61%)",53.49217027240324,0,0,Sam Houston St.,103.26504361074224,103.12001348165572,0.5040405310259538,1.0,75.24631824086991,Pacific,100.43479137529408,104.3137280885454,0.392745908537215,0.0,72.34651208955937,73.08979998603259,,,1,"Sam Houston St., 64-57",80.5,80.5,64.0,57.0,Sam Houston St.,Pacific,77.44214680519026,79.03896859988465,78.86899735657948,74.67770915609404,72.73311829823828,79.66993337922344,1.0,0.0,1.0,0.9116615445909352,0.9227558217025708,738830,0.7950310559006211,0.7080745341614907,0.7515527950310559,135,257,0.6520302890204404,0.25968670436765545,"[u'11/6/2023', 200, u'Sam Houston St.', u'Pacific', 19, 51, 3, 16, 23, 33, 9, 28, 37, 11, 9, 3, 19, 14, 64, 24, 64, 4, 24, 5, 7, 6, 26, 32, 21, 9, 3, 23, 23, 57, 80.5, u'', u'Sam Houston St.', u'Pacific']",0.61110203223357,0.38889796776643,"['Sam Houston St.Pacific11-6', '11/6/23', 'Sam Houston St. -0.0, 73-72 (50%)', 71.84479421068293, 71.84127319857905, 64.0, 57.0, 114.0, 171.0, 71.74650794203943, 65.02955079336249]"
CornellLehigh11-6,11/6/23,Ivy at Pat,124 Cornell at 258 Lehigh,"Cornell -4.8, 84-79 (66%)",52.8659546835691,0,0,Cornell,111.4276482255718,109.15423814863132,0.5589880461172245,1.0,83.77863500446982,Lehigh,100.77663094573188,104.67091637403432,0.3926896674870376,0.0,79.01594301502678,75.15893327609994,,,1,"Cornell, 84-78",80.1625,80.1625,84.0,78.0,Cornell,Lehigh,77.46264258669278,76.19969806825797,102.81545033269012,103.03310282034428,95.12529384320274,96.5809435549223,1.0,0.0,1.0,0.9116805345297584,0.9054667959259672,738830,1.047871510993295,0.9730235459223452,1.01044752845782,124,258,0.4939205761917038,0.45644932208861194,"[u'11/6/2023', 200, u'Cornell', u'Lehigh', 26, 57, 11, 30, 21, 31, 7, 25, 32, 15, 7, 0, 15, 18, 84, 29, 64, 7, 29, 13, 16, 6, 29, 35, 16, 11, 1, 15, 27, 78, 80.1625, u'', u'Cornell', u'Lehigh']",0.6621916681770171,0.3378083318229828,"['CornellLehigh11-6', '11/6/23', 'Cornell -2.5, 81-78 (59%)', 80.52343521837516, 77.97788647329693, 84.0, 78.0, 146.0, 249.0, 75.8801718380066, 55.62205890072442]"
Louisiana TechColorado St.11-6,11/6/23,CUSA at MWC,123 Louisiana Tech at 34 Colorado St.,"Colorado St. -11.2, 77-66 (86%)",50.392938802635896,0,0,Louisiana Tech,103.35873648065716,101.18625513227715,0.5607713674914792,0.0,66.22152929319333,Colorado St.,117.41901316204428,98.37661451496984,0.8844104662789144,1.0,77.37846153001794,68.14381750860906,Louisiana Tech,,1,"Colorado St., 81-73",72.05,72.05,73.0,81.0,Colorado St.,Louisiana Tech,71.44605284807761,73.61171413858956,111.2837831643905,97.2283934977271,112.82621341119606,105.91965624676074,1.0,0.0,1.0,0.4659112074307363,0.9048455046404044,738830,1.0131852879944483,1.1242192921582237,1.068702290076336,123,34,0.8253089404750449,0.6740214420224021,"[u'11/6/2023', 200, u'Louisiana Tech', u'Colorado St.', 29, 65, 7, 24, 8, 10, 13, 26, 39, 13, 7, 2, 14, 23, 73, 26, 51, 6, 16, 23, 26, 0, 23, 23, 19, 7, 3, 10, 14, 81, 72.05, u'', u'Colorado St.', u'Louisiana Tech']",0.1430013009919165,0.8569986990080836,"['Louisiana TechColorado St.11-6', '11/6/23', 'Colorado St. -8.9, 75-66 (81%)', 66.31871937831443, 75.17646645118609, 73.0, 81.0, 133.0, 60.0, 69.84166279924233, 49.839158210254226]"
