Purdue,119.83710324663,91.99517456818,0.95437357142904,7–0,7,7,57.2,42.7,46.3,18.4,17.4,15.2,32.4,23.6,72.4,53.3,47.7,42.8,24,13.8,4.7,59.8,53.2,36.1,43,69.52035614353,78.09970735785953,82.98100000000001,1.7714570858283438,2024,0,0,53.35047999999999,,69.4,66.7,1.163,0.878,27.342685714286
Houston,116.18418828197,90.023416133771,0.94948885944732,7–0,7,7,51.2,41,36.2,36.2,12.8,26.2,39.8,24.3,63.8,50.8,40.4,34.6,27.9,15.5,4.2,51.6,66.4,38,41.3,65.411526875292,76.1558149058149,78.86449999999999,2.1918383676735345,2024,0,0,64.8112,,63.6,61.3,1.195,0.768,11.804457142857
Connecticut,117.41536814205,92.991808316921,0.93594853302068,7–0,7,7,57.8,43.6,38.1,30.2,15.2,19.1,42.1,21.7,69.7,65.9,40.1,30.9,34.1,15.3,6,60.6,46.7,41.4,31,68.497767583427,78.35570607553367,81.777,1.6525999999999996,2024,0,0,59.199200000000005,,75.6,65,1.273,0.869,11.3006
Kansas,114.98509503379,92.670836771605,0.92280689751413,5–1,5,6,59,42.3,34.3,22.5,18.6,15.9,26,26.7,72.5,59.8,40.4,38.2,29.9,14,6.8,76.9,47.9,32,42.3,71.504509823421,78.74288659793814,82.38749999999999,2.1329999999999987,2024,0,0,60.288119999999985,,67.8,70.8,1.117,0.912,27.041166666667
Creighton,117.98963091188,95.319405976328,0.92083001884284,5–1,5,6,59.7,45.1,25.8,12.2,14.7,11.3,31.4,20.2,68,61.5,43.7,38.7,33.3,8.3,10.9,58,40,52.3,21.8,67.947037834017,78.44991922455573,82.53049999999999,2.1457417033186723,2024,0,0,55.772200000000005,,72.3,72.3,1.235,0.936,15.02665
Arizona,117.39034162877,95.0279611531,0.91911142547659,6–0,6,6,57.5,44.2,37.1,24.1,17.8,20.7,42.6,19.6,76.6,56.9,42.3,39.2,31.5,13.2,8,61.5,53.9,31.3,38.6,73.19490911232,78.12209064924461,81.8795,1.7359056377449025,2024,0,0,65.61428,,76.4,62.9,1.244,0.833,21.111316666667
Marquette,117.31811398148,95.38514094501,0.91529820354771,6–1,6,7,55.8,47.7,29.6,25.2,12.2,23.1,26.5,31.5,70.4,60.5,46.1,32.8,33.5,6.7,9.5,51.9,50.6,41.6,38.3,69.072268154655,77.4982614031499,81.13999999999999,1.8433059835901537,2024,0,0,56.61091999999999,,68,65.4,1.157,0.936,32.457785714286
North Carolina,119.0725074387,97.346556059677,0.91025361282529,6–1,6,7,53,48.1,46,27.2,13.9,17.6,34.3,25.1,71.9,50.9,49.2,38,31,11.5,7.8,49.8,39.2,34.6,39.1,71.134244583109,77.38710329492622,81.249,2.1752000000000002,2024,0,0,85.37884,,76.9,78.6,1.196,0.989,21.379342857143
Tennessee,110.92891805334,90.852811885916,0.90854206430307,4–3,4,7,49.8,44.8,31.9,43.8,14.4,18.7,27.3,27.5,71.7,50,44.8,33,29.7,13.9,6.4,51.6,53.5,41.7,37,69.450237826714,77.06278397356463,80.47899999999998,2.250650130026006,2024,0,0,50.06131999999999,,78.1,63.4,1.065,0.935,38.379585714286
Gonzaga,116.67785937502,95.644815131973,0.90770387814418,4–1,4,5,51,44.1,29.3,26.8,18.2,16.4,37.7,25.5,69.4,53.4,46.3,30.7,26.5,5.5,7.8,45.4,41.2,32.9,32.8,70.744906197222,77.4702320887992,81.0875,1.7309999999999999,2024,0,0,74.44779999999999,,68.9,83.8,1.081,0.954,28.80874
